"Order_ID","Product","Quantity_Ordered","Price_Each","Order_Date","Purchase_Address"
"176558","USB-C Charging Cable","2","11.949999809265137","2019-04-19 08:46:00.0000000","917 1st St, Dallas, TX 75001"
"","","","","",""
"176559","Bose SoundSport Headphones","1","99.989997863769531","2007-04-19 22:30:00.0000000","682 Chestnut St, Boston, MA 02215"
"176560","Google Phone","1","600","2012-04-19 14:38:00.0000000","669 Spruce St, Los Angeles, CA 90001"
"176560","Wired Headphones","1","11.989999771118164","2012-04-19 14:38:00.0000000","669 Spruce St, Los Angeles, CA 90001"
"176561","Wired Headphones","1","11.989999771118164","2030-04-19 09:27:00.0000000","333 8th St, Los Angeles, CA 90001"
"176562","USB-C Charging Cable","1","11.949999809265137","2029-04-19 13:03:00.0000000","381 Wilson St, San Francisco, CA 94016"
"176563","Bose SoundSport Headphones","1","99.989997863769531","2002-04-19 07:46:00.0000000","668 Center St, Seattle, WA 98101"
"176564","USB-C Charging Cable","1","11.949999809265137","2012-04-19 10:58:00.0000000","790 Ridge St, Atlanta, GA 30301"
"176565","Macbook Pro Laptop","1","1700","2024-04-19 10:38:00.0000000","915 Willow St, San Francisco, CA 94016"
"176566","Wired Headphones","1","11.989999771118164","2008-04-19 14:05:00.0000000","83 7th St, Boston, MA 02215"
"176567","Google Phone","1","600","2018-04-19 17:18:00.0000000","444 7th St, Los Angeles, CA 90001"
"176568","Lightning Charging Cable","1","14.949999809265137","2015-04-19 12:18:00.0000000","438 Elm St, Seattle, WA 98101"
"176569","27in 4K Gaming Monitor","1","389.989990234375","2016-04-19 19:23:00.0000000","657 Hill St, Dallas, TX 75001"
"176570","AA Batteries (4-pack)","1","3.8399999141693115","2022-04-19 15:09:00.0000000","186 12th St, Dallas, TX 75001"
"176571","Lightning Charging Cable","1","14.949999809265137","2019-04-19 14:29:00.0000000","253 Johnson St, Atlanta, GA 30301"
"176572","Apple Airpods Headphones","1","150","2004-04-19 20:30:00.0000000","149 Dogwood St, New York City, NY 10001"
